year,month,day,hour,P,T,RH,RPH,WD,WV,WV1,WV2
2008,6,6,0,721.9,5,99,1,31,11.4,0.857167305,0.515038067
2008,6,6,1,722.8,5.2,99,2.2,53,8,0.601815036,0.798635501
2008,6,6,2,722.6,5.2,99,1.9,54,8.1,0.587785265,0.809016985
2008,6,6,3,722.8,5.3,99,1.8,41,6.4,0.754709588,0.65605902
2008,6,6,4,723.2,5.8,99,0.8,21,5.9,0.933580429,0.358367944
2008,6,6,5,723.1,6.6,99,0.2,45,6.7,0.707106791,0.707106772
2008,6,6,6,723.2,6.1,99,0.3,35,4.5,0.81915205,0.573576428
2008,6,6,7,723.2,6.2,99,0,21,6.4,0.933580429,0.358367944
2008,6,6,8,723.1,6.5,97,0,23,7.6,0.920504856,0.390731122
2008,6,6,9,723.1,8,93,0,6,3,0.994521896,0.104528461
2008,6,6,10,723,7.8,94,0,29,3.4,0.874619711,0.484809613
2008,6,6,11,723.2,6.5,98,0,16,3.8,0.961261697,0.275637351
2008,6,6,12,723.1,5.4,99,0,27,8.1,0.891006528,0.453990493
2008,6,6,13,723.5,5.3,98,0,22,8.8,0.927183857,0.374606587
2008,6,6,14,724,5.5,99,0,23,7.4,0.920504856,0.390731122
2008,6,6,15,724.3,5.4,99,0,41,6.5,0.754709588,0.65605902
2008,6,6,16,724.2,5.2,99,0,44,8.2,0.719339809,0.694658361
2008,6,6,17,723.9,5.7,99,0,48,8,0.669130617,0.743144816
2008,6,6,18,723.6,5.5,99,0,50,7.9,0.642787621,0.766044434
2008,6,6,19,723.4,4.5,99,0,55,7.5,0.57357645,0.819152035
2008,6,6,20,723,4.2,99,0,60,6.6,0.500000015,0.866025395
2008,6,6,21,722.9,3.8,77,0,66,5.3,0.406736661,0.91354545
2008,6,6,22,723.2,4.8,66,0,73,5.3,0.292371726,0.95630475
2008,6,6,23,723.4,7.2,61,0,63,5.3,0.453990516,0.891006516
2008,6,7,0,723.5,8.3,62,0,60,6.1,0.500000015,0.866025395
2008,6,7,1,723.7,9.3,61,0,65,4.3,0.422618279,0.906307779
2008,6,7,2,723.6,11,58,0,61,4.9,0.484809636,0.874619698
2008,6,7,3,723.6,11.5,54,0,63,5.2,0.453990516,0.891006516
2008,6,7,4,723.4,13.3,44,0,52,5.9,0.615661488,0.788010744
2008,6,7,5,723.1,13.1,50,0,64,4.9,0.438371164,0.898794038
2008,6,7,6,722.8,13.6,47,0,68,4.9,0.374606612,0.927183847
2008,6,7,7,722.5,14.3,53,0,43,5.3,0.73135371,0.681998351
2008,6,7,8,722.4,14.5,53,0,54,4.7,0.587785265,0.809016985
2008,6,7,9,722.1,13.5,63,0,65,6.9,0.422618279,0.906307779
2008,6,7,10,721.8,12.4,60,0,59,6.6,0.51503809,0.857167292
2008,6,7,11,722.1,10,65,0,65,7.4,0.422618279,0.906307779
2008,6,7,12,722.4,8.4,73,0,62,5.2,0.469471579,0.882947584
2008,6,7,13,722.7,7.5,81,0,61,5.6,0.484809636,0.874619698
2008,6,7,14,723.1,7.1,83,0,56,5.5,0.559192917,0.829037563
2008,6,7,15,723.2,6.9,85,0,61,6.5,0.484809636,0.874619698
2008,6,7,16,722.9,7.6,73,0,74,7,0.275637377,0.96126169
2008,6,7,17,722.6,7.8,81,0,70,9.4,0.342020163,0.939692614
2008,6,7,18,722.3,8,67,0,100,7.8,-0.173648148,0.984807758
2008,6,7,19,722.2,7.9,64,0,112,5.5,-0.374606562,0.927183867
2008,6,7,20,721.9,8,62,0,123,7.1,-0.544639004,0.838670588
2008,6,7,21,722,7.7,64,0,112,4.7,-0.374606562,0.927183867
2008,6,7,22,721.7,7.7,60,0,75,5.9,0.258819067,0.965925821
2008,6,7,23,722,7.8,57,0,70,5.7,0.342020163,0.939692614
2008,6,8,0,722.4,9,57,0,100,4,-0.173648148,0.984807758
2008,6,8,1,722.6,11.1,52,0,71,3.5,0.325568174,0.945518569
2008,6,8,2,722.9,12.5,44,0,67,3.3,0.390731147,0.920504846
2008,6,8,3,723,14.3,45,0,61,3.9,0.484809636,0.874619698
2008,6,8,4,722.9,15.3,42,0,59,4.2,0.51503809,0.857167292
2008,6,8,5,722.8,16.7,44,0,52,5.1,0.615661488,0.788010744
2008,6,8,6,722.5,16.8,50,0,47,5.9,0.68199837,0.731353692
2008,6,8,7,722.3,17,51,0,55,6,0.57357645,0.819152035
2008,6,8,8,722.2,15.6,55,0,70,5.3,0.342020163,0.939692614
2008,6,8,9,722.1,14.8,56,0,65,6.5,0.422618279,0.906307779
2008,6,8,10,721.9,14.1,57,0,61,5.8,0.484809636,0.874619698
2008,6,8,11,722.3,12.4,73,0,67,6.2,0.390731147,0.920504846
2008,6,8,12,722.4,10.6,83,0,69,9.5,0.358367969,0.933580419
2008,6,8,13,722.8,10,86,0,74,8.6,0.275637377,0.96126169
2008,6,8,14,723.4,10,70,0,79,7.7,0.190809018,0.981627179
2008,6,8,15,723.5,10.3,59,0,106,5.2,-0.275637325,0.961261705
2008,6,8,16,723.5,10.1,54,0,116,5.6,-0.438371116,0.898794061
2008,6,8,17,723.2,9.2,64,0,136,5.3,-0.719339772,0.6946584
2008,6,8,18,723,8.6,69,0,186,3.1,-0.994521901,-0.104528408
2008,6,8,19,722.7,8,85,0,202,3.5,-0.927183877,-0.374606538
2008,6,8,20,722.7,7.9,95,0,189,2.3,-0.987688349,-0.156434409
2008,6,8,21,722.6,7.9,78,0,188,3.2,-0.990268077,-0.139173046
2008,6,8,22,723.1,8.6,68,0,176,2.2,-0.997564047,0.069756526
2008,6,8,23,723.2,9.4,73,0,112,2.7,-0.374606562,0.927183867
2008,6,9,0,723.4,10.1,75,0,82,1.6,0.139173125,0.990268065
2008,6,9,1,723.6,12.4,70,0,64,4.3,0.438371164,0.898794038
2008,6,9,2,723.7,11.4,80,0,98,2.1,-0.139173072,0.990268073
2008,6,9,3,723.8,11.6,78,0,65,4,0.422618279,0.906307779
2008,6,9,4,723.9,12.3,75,0,80,3.3,0.173648201,0.984807749
2008,6,9,5,723.4,12.7,59,0,117,4.8,-0.453990469,0.89100654
2008,6,9,6,723,14.4,58,0,65,5.2,0.422618279,0.906307779
2008,6,9,7,722.5,15.1,53,0,70,7.2,0.342020163,0.939692614
2008,6,9,8,722.9,11.9,66,0,120,2.7,-0.499999969,0.866025422
2008,6,9,9,723,8.7,93,2.2,71,4.9,0.325568174,0.945518569
2008,6,9,10,722.8,9.8,67,1,96,2.2,-0.104528435,0.994521898
2008,6,9,11,722.6,8.9,85,0,92,4.4,-0.034899469,0.999390828
2008,6,9,12,722.5,8.8,77,0,90,5.1,2.67949E-08,1
2008,6,9,13,722.6,9.1,73,0,124,9.7,-0.559192873,0.829037593
2008,6,9,14,723,9.2,69,0,110,4.7,-0.342020113,0.939692632
2008,6,9,15,722.9,9.3,66,0,117,7.7,-0.453990469,0.89100654
2008,6,9,16,722.8,8.7,75,0,118,8,-0.469471532,0.882947609
2008,6,9,17,722.6,8.9,76,0,125,7.8,-0.573576406,0.819152066
2008,6,9,18,722.5,8.6,70,0,113,6.2,-0.390731098,0.920504867
2008,6,9,19,722.2,8,82,0,132,6.6,-0.669130577,0.743144852
2008,6,9,20,722,8,83,0,127,6.1,-0.601814993,0.798635533
2008,6,9,21,722,7.8,84,0,102,5.1,-0.207911661,0.978147607
2008,6,9,22,722.2,7.2,87,0,93,5,-0.052335929,0.998629536
2008,6,9,23,722.4,7.4,94,0,93,4.8,-0.052335929,0.998629536
2008,6,10,0,722.4,7.1,99,0,89,4.1,0.017452433,0.999847695
2008,6,10,1,722.5,8.8,95,0,69,3.6,0.358367969,0.933580419
2008,6,10,2,722.9,11.7,83,0,83,2.3,0.121869368,0.992546149
2008,6,10,3,722.8,11,88,0,52,4,0.615661488,0.788010744
2008,6,10,4,722.6,14.9,67,0,55,4.4,0.57357645,0.819152035
2008,6,10,5,722.3,12.1,78,0,60,7.1,0.500000015,0.866025395
2008,6,10,6,722.4,10.6,83,0,71,4.4,0.325568174,0.945518569
2008,6,10,7,722,13.2,68,0,93,3.6,-0.052335929,0.998629536
2008,6,10,8,721.9,13.4,80,0,77,4.7,0.224951077,0.97437006
2008,6,10,9,721.8,11.3,82,0,77,3.9,0.224951077,0.97437006
2008,6,10,10,721.9,12.4,78,0,72,3.1,0.309017015,0.95105651
2008,6,10,11,722.3,10.9,81,0,71,5.2,0.325568174,0.945518569
2008,6,10,12,722.7,10.2,80,0,85,5.9,0.087155768,0.996194696
2008,6,10,13,723.1,10,79,0,87,5.9,0.052335982,0.998629533
2008,6,10,14,723.6,9.8,82,0,100,5.7,-0.173648148,0.984807758
2008,6,10,15,723.7,9.4,82,0,119,7.5,-0.484809589,0.874619724
2008,6,10,16,723.7,9.4,78,0,119,5.9,-0.484809589,0.874619724
2008,6,10,17,723.5,9.2,73,0,134,6.6,-0.694658342,0.719339828
2008,6,10,18,723.1,8.8,78,0,149,5.8,-0.857167278,0.515038113
2008,6,10,19,723.1,8.5,73,0,206,1.4,-0.898794073,-0.438371092
2008,6,10,20,722.5,8.4,69,0,201,4.3,-0.933580448,-0.358367894
2008,6,10,21,722.6,8.5,69,0,194,3.4,-0.97029574,-0.24192184
2008,6,10,22,722.5,8.8,81,0,205,6.8,-0.906307813,-0.422618206
2008,6,10,23,722.9,9.2,83,0,203,5,-0.920504877,-0.390731073
2008,6,11,0,723,10,83,0,206,5,-0.898794073,-0.438371092
2008,6,11,1,723.2,10.5,80,0,217,5.6,-0.798635549,-0.601814972
2008,6,11,2,723.3,12.7,77,0,207,1.4,-0.891006552,-0.453990445
2008,6,11,3,723.2,12.9,80,0,165,1,-0.965925814,0.258819093
2008,6,11,4,723,14.2,75,0,240,0.9,-0.500000062,-0.866025368
2008,6,11,5,722.6,15.5,66,0,280,1.8,0.173648096,-0.984807767
2008,6,11,6,722.2,14.6,70,0,40,1.3,0.766044451,0.642787601
2008,6,11,7,721.6,10,85,2.2,91,4.5,-0.017452379,0.999847696
2008,6,11,8,721.5,10.4,81,0.2,59,2.9,0.51503809,0.857167292
2008,6,11,9,720.7,11.6,62,0,85,3.9,0.087155768,0.996194696
2008,6,11,10,721.3,12,57,0,96,2.9,-0.104528435,0.994521898
2008,6,11,11,721.1,10.3,63,0,203,5.9,-0.920504877,-0.390731073
2008,6,11,12,721.4,11.7,52,0,163,2.3,-0.956304742,0.292371751
2008,6,11,13,721.8,10.6,60,0,90,3.3,2.67949E-08,1
2008,6,11,14,722.4,11.9,53,0,115,1.7,-0.422618231,0.906307802
2008,6,11,15,722.6,11.6,53,0,198,3.1,-0.951056535,-0.309016938
2008,6,11,16,722.4,9.8,65,0,215,8.1,-0.819152081,-0.573576384
2008,6,11,17,722.1,9.6,67,0,224,6.5,-0.719339847,-0.694658322
2008,6,11,18,721.7,9.2,72,0,223,5.9,-0.731353747,-0.681998312
2008,6,11,19,721.2,8.7,74,0,205,8.1,-0.906307813,-0.422618206
2008,6,11,20,720.8,8.6,75,0,213,6.8,-0.838670602,-0.544638982
2008,6,11,21,720.8,8.5,78,0,212,5.1,-0.84804813,-0.529919211
2008,6,11,22,720.9,10.5,65,0,253,4.3,-0.292371777,-0.956304734
2008,6,11,23,721,10.2,70,0,262,5.4,-0.139173178,-0.990268058
2008,6,12,0,721.4,11.2,68,0,258,3.4,-0.207911766,-0.978147585
2008,6,12,1,721.6,12.8,61,0,256,2,-0.24192197,-0.970295708
2008,6,12,2,721.6,14.3,65,0,266,1.7,-0.069756553,-0.997564045
2008,6,12,3,721.3,15.8,59,0,229,1.2,-0.65605908,-0.754709535
2008,6,12,4,721.4,15.2,60,0,240,1.3,-0.500000062,-0.866025368
2008,6,12,5,721.1,16.1,57,0,304,2.1,0.559192828,-0.829037623
2008,6,12,6,720.7,15.3,58,0,5,0.6,0.996194698,0.087155741
2008,6,12,7,720.4,14.6,66,0,182,2.2,-0.999390829,-0.034899443
2008,6,12,8,720.4,13.1,61,0,213,4.2,-0.838670602,-0.544638982
2008,6,12,9,720.2,12.6,67,0,190,3.5,-0.984807763,-0.173648122
2008,6,12,10,720.1,13.8,42,0,245,3.6,-0.422618328,-0.906307756
2008,6,12,11,719.9,12.7,43,0,189,2.3,-0.987688349,-0.156434409
2008,6,12,12,720.4,14,39,0,103,1.7,-0.224951024,0.974370072
2008,6,12,13,720.8,13.6,41,0,98,2.6,-0.139173072,0.990268073
2008,6,12,14,720.5,12.5,49,0,73,4.8,0.292371726,0.95630475
2008,6,12,15,720.9,12.8,56,0,157,3,-0.920504835,0.390731172
2008,6,12,16,720.4,12.9,51,0,164,2.5,-0.961261682,0.275637403
2008,6,12,17,719.8,12.5,50,0,172,3,-0.990268062,0.139173152
2008,6,12,18,719.6,11.4,66,0,209,3.9,-0.874619737,-0.484809566
2008,6,12,19,719.5,10.5,90,0,219,6.5,-0.777146002,-0.62932034
2008,6,12,20,719.5,9.6,97,0,209,7.1,-0.874619737,-0.484809566
2008,6,12,21,719.7,10.6,89,0,217,5.4,-0.798635549,-0.601814972
2008,6,12,22,720,10.4,89,0,224,5.4,-0.719339847,-0.694658322
2008,6,12,23,720.5,10.2,93,0,192,2.9,-0.978147613,-0.207911635
2008,6,13,0,721,12.5,84,0,37,2.3,0.798635517,0.601815014
2008,6,13,1,721.4,12.6,80,0,41,3.4,0.754709588,0.65605902
2008,6,13,2,721.4,13.4,69,0,11,3.1,0.981627184,0.190808992
2008,6,13,3,721.4,13.6,64,0,34,4,0.829037578,0.559192895
2008,6,13,4,721.4,10.8,78,0,39,5.8,0.777145969,0.629320382
2008,6,13,5,720.9,14,67,0,19,4.5,0.945518577,0.325568149
2008,6,13,6,720.4,14.4,64,0,24,6.8,0.913545461,0.406736637
2008,6,13,7,720,14.2,63,0,21,6.1,0.933580429,0.358367944
2008,6,13,8,719.6,15.7,57,0,48,5.7,0.669130617,0.743144816
2008,6,13,9,719.5,14.8,62,0,49,4.2,0.65605904,0.754709571
2008,6,13,10,719.4,13.7,64,0,58,4,0.529919279,0.848048087
2008,6,13,11,719.6,12.4,68,0,34,5.9,0.829037578,0.559192895
2008,6,13,12,720.1,11.1,72,0,27,4.1,0.891006528,0.453990493
2008,6,13,13,720.7,10.7,71,0,20,3.6,0.939692623,0.342020138
2008,6,13,14,720.7,8.9,98,0,51,6.6,0.629320403,0.777145952
2008,6,13,15,720.8,8.3,98,0,62,7.4,0.469471579,0.882947584
2008,6,13,16,720.9,8.1,98,0,51,7.1,0.629320403,0.777145952
2008,6,13,17,720.5,7.8,98,0,68,5.2,0.374606612,0.927183847
2008,6,13,18,720.1,7.8,96,0,67,3.6,0.390731147,0.920504846
2008,6,13,19,719.9,7.7,98,0,62,5.4,0.469471579,0.882947584
2008,6,13,20,720.1,7.4,99,0.1,73,2.6,0.292371726,0.95630475
2008,6,13,21,720.1,7.4,99,1.2,75,1.4,0.258819067,0.965925821
2008,6,13,22,720.2,7.6,97,7.6,303,3.3,0.544638959,-0.838670617
2008,6,13,23,720.8,7.4,99,3.2,44,2.9,0.719339809,0.694658361
2008,6,14,0,721.2,6.6,99,6.2,347,6.3,0.974370042,-0.224951155
2008,6,14,1,721.3,6.4,99,2.1,15,10.2,0.965925827,0.258819041
2008,6,14,2,721.3,7,95,0.2,33,10.5,0.838670573,0.544639027
2008,6,14,3,721.7,7.1,99,0.1,59,6.6,0.51503809,0.857167292
2008,6,14,4,721.7,7.3,99,0.6,48,6,0.669130617,0.743144816
2008,6,14,5,721.3,7.5,99,0.5,42,8.8,0.743144834,0.669130597
2008,6,14,6,721.4,7,99,0.6,48,7.1,0.669130617,0.743144816
2008,6,14,7,720.9,6.8,99,2.7,39,10.1,0.777145969,0.629320382
2008,6,14,8,721.1,6.9,99,1.6,37,10.3,0.798635517,0.601815014
2008,6,14,9,720.8,6.3,99,3.1,33,12.8,0.838670573,0.544639027
2008,6,14,10,720.8,5.8,99,0.9,37,11.3,0.798635517,0.601815014
2008,6,14,11,721.3,6.2,99,0,53,9.8,0.601815036,0.798635501
2008,6,14,12,721.7,5.7,99,0,50,9.4,0.642787621,0.766044434
2008,6,14,13,722.2,5.5,99,0,52,9.1,0.615661488,0.788010744
2008,6,14,14,722.4,5.4,99,0,47,7.5,0.68199837,0.731353692
2008,6,14,15,722.5,5.3,99,0,53,7,0.601815036,0.798635501
2008,6,14,16,722.5,5.6,96,0,32,5.3,0.848048101,0.529919256
2008,6,14,17,722,6.3,91,0,22,6.9,0.927183857,0.374606587
2008,6,14,18,721.6,6.3,98,0,11,7.2,0.981627184,0.190808992
2008,6,14,19,721.4,6.1,99,0,10,8.2,0.984807754,0.173648175
2008,6,14,20,721.2,6,98,0,8,8.3,0.990268069,0.139173099
2008,6,14,21,721.2,5.9,97,0,6,7.4,0.994521896,0.104528461
2008,6,14,22,721.3,5.7,99,0.2,355,6.2,0.996194689,-0.087155848
2008,6,14,23,721.6,5.6,99,0.7,350,5.3,0.984807735,-0.17364828
2008,6,15,0,722,5.8,99,0.6,355,4.1,0.996194689,-0.087155848
2008,6,15,1,722.4,6.3,98,1,337,2.2,0.920504814,-0.390731221
2008,6,15,2,722.3,7,96,1.2,24,3.3,0.913545461,0.406736637
2008,6,15,3,722.3,7.6,94,0,32,4.6,0.848048101,0.529919256
2008,6,15,4,722.2,8.2,91,0,33,4.7,0.838670573,0.544639027
2008,6,15,5,722,7.2,86,0,29,3,0.874619711,0.484809613
2008,6,15,6,721.6,7.4,82,0.1,182,0.6,-0.999390829,-0.034899443
2008,6,15,7,721.4,8.4,86,0.2,31,3.3,0.857167305,0.515038067
2008,6,15,8,720.9,7.8,90,0.1,47,6.6,0.68199837,0.731353692
2008,6,15,9,720.7,6.6,97,0,55,5.4,0.57357645,0.819152035
2008,6,15,10,720.6,6.4,98,0,56,7.7,0.559192917,0.829037563
2008,6,15,11,721,5.8,99,0,54,7.5,0.587785265,0.809016985
2008,6,15,12,721.2,4.9,89,0,37,7.1,0.798635517,0.601815014
2008,6,15,13,721.4,4.9,84,0,28,6.8,0.882947597,0.469471555
2008,6,15,14,721.9,4.6,85,0,33,4.9,0.838670573,0.544639027
2008,6,15,15,721.8,4.4,85,0,40,5.6,0.766044451,0.642787601
2008,6,15,16,721.7,5.6,90,0,279,5,0.156434383,-0.987688354
2008,6,15,17,721.1,5.7,80,0,330,4.7,0.866025355,-0.500000085
